Initial State Final State                                Path  Effective Pi-Time
       [3, 1]      [4, 0]                 [[3, 1], 0, [4, 0]]         113.435588
      [2, -1]     [3, -2]              [[2, -1], -2, [3, -2]]         129.892820
      [3, -3]           2            [[3, -3], -2, [2, 0], 2]         263.686640
      [3, -1]      [4, 0]                [[3, -1], 0, [4, 0]]         211.002955
       [2, 2]     [3, -3]    [[2, 2], 0, [3, 0], -1, [3, -3]]         350.804781
       [3, 1]      [4, 1]                 [[3, 1], 0, [4, 1]]         185.200106
      [2, -1]     [3, -1]              [[2, -1], -2, [3, -1]]         151.829822
      [3, -3]     [4, -4]              [[3, -3], -2, [4, -4]]          62.928000
      [3, -1]      [4, 1]                [[3, -1], 1, [4, 1]]         231.126495
       [2, 2]     [3, -2]    [[2, 2], 0, [3, 0], -1, [3, -2]]         299.962399
       [3, 1]      [4, 2]                 [[3, 1], 1, [4, 2]]         211.205807
      [2, -1]      [3, 0]  [[2, -1], -2, [3, -2], -1, [3, 0]]         239.779470
      [3, -3]     [4, -3]              [[3, -3], -1, [4, -3]]         138.294881
      [3, -1]      [4, 2]                [[3, -1], 1, [4, 2]]         241.383631
       [2, 2]     [3, -1]                [[2, 2], 0, [3, -1]]         270.729968
       [3, 1]      [4, 3]                 [[3, 1], 2, [4, 3]]         282.153991
